2024-07-15T10:43:35.329,FE,20, 0, 0,18, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,103898,q1,0.9843768,q2,0.0199855,q3,-0.01081745,q4,-0.1746019,rollspeed,0.0001453648,pitchspeed,-0.004727136,yawspeed,0.001667985,repr_offset_q,,,sig ,Len,40,crc16,4650
2024-07-15T10:43:35.664,FE, 2, 0, 0,19, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,1388
2024-07-15T10:43:35.664,FE,1C, 0, 0,1F, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,104249,roll,0.04315642,pitch,-0.01430176,yaw,-0.3513135,rollspeed,-0.0004626393,pitchspeed,0.003031416,yawspeed,0.0008945311,,sig ,Len,36,crc16,49731
2024-07-15T10:43:35.679,FE,20, 0, 0,20, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,104249,q1,0.9843846,q2,0.01999463,q3,-0.01080965,q4,-0.1745578,rollspeed,-0.0004626393,pitchspeed,0.003031416,yawspeed,0.0008945311,repr_offset_q,,,sig ,Len,40,crc16,36970
2024-07-15T10:43:35.679,FE,1C, 0, 0,21, 1, 1,    21,mavlink_global_position_int_t,time_boot_ms,104245,lat,295981209,lon,1063014430,alt,282257,relative_alt,9,vx,1,vy,-1,vz,0,hdg,33987,,sig ,Len,36,crc16,63633
2024-07-15T10:43:35.679,FE, 2, 0, 0,22, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,42404
2024-07-15T10:43:35.695,FE,14, 0, 0,23, 1, 1,    4A,mavlink_vfr_hud_t,airspeed,0,groundspeed,0.0188608,alt,282.2585,climb,-0.007526648,heading,339,throttle,0,,sig ,Len,28,crc16,48139
2024-07-15T10:43:35.884,FE, 2, 0, 0,24, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,64873
2024-07-15T10:43:35.884,FE,1C, 0, 0,25, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,104479,roll,0.04321449,pitch,-0.01431409,yaw,-0.3513286,rollspeed,0.0005441698,pitchspeed,0.0004297542,yawspeed,-0.0002695257,,sig ,Len,36,crc16,4959
2024-07-15T10:43:35.996,FE, 2, 0, 0,26, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,51922
2024-07-15T10:43:35.996,FE, 2, 0, 0,27, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,21767
2024-07-15T10:43:35.996,FE,20, 0, 0,28, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,104610,q1,0.9843854,q2,0.02006914,q3,-0.01083111,q4,-0.1745429,rollspeed,-0.0006555687,pitchspeed,-0.003612064,yawspeed,0.001940401,repr_offset_q,,,sig ,Len,40,crc16,17564
2024-07-15T10:43:36.108,FE, 2, 0, 0,29, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,54054
2024-07-15T10:43:36.123,FE,1C, 0, 0,2A, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,104718,roll,0.04330572,pitch,-0.01426385,yaw,-0.3512542,rollspeed,-7.761468E-05,pitchspeed,0.0004983689,yawspeed,-0.000391714,,sig ,Len,36,crc16,65080
2024-07-15T10:43:36.123,FE, 9, 0, 0,2B, 1, 1,     0,mavlink_heartbeat_t,custom_mode,196608,type,2,autopilot,12,base_mode,81,system_status,3,mavlink_version,3,,sig ,Len,17,crc16,30902
2024-07-15T10:43:36.218,FE, 6, 0, 0,59,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,2,start_stop,1,,sig ,Len,14,crc16,51865
2024-07-15T10:43:36.218,FE, 6, 0, 0,5A,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,2,start_stop,1,,sig ,Len,14,crc16,13354
2024-07-15T10:43:36.218,FE, 6, 0, 0,5B,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,6,start_stop,1,,sig ,Len,14,crc16,730
2024-07-15T10:43:36.218,FE, 6, 0, 0,5C,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,6,start_stop,1,,sig ,Len,14,crc16,41532
2024-07-15T10:43:36.218,FE, 6, 0, 0,5D,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,4,target_system,1,target_component,1,req_stream_id,11,start_stop,1,,sig ,Len,14,crc16,20511
